"db","query","phylum","class","order","family"
"ncbi","Cataglyphis","Arthropoda","Insecta","Hymenoptera","Formicidae"
"ncbi","Formica","Arthropoda","Insecta","Hymenoptera","Formicidae"
"ncbi","Lasius","Arthropoda","Insecta","Hymenoptera","Formicidae"
"ncbi","Forelius","Arthropoda","Insecta","Hymenoptera","Formicidae"
"ncbi","Anoplolepis","Arthropoda","Insecta","Hymenoptera","Formicidae"
"ncbi","Leptogenys","Arthropoda","Insecta","Hymenoptera","Formicidae"
"ncbi","Paraponera","Arthropoda","Insecta","Hymenoptera","Formicidae"
"ncbi","Eciton","Arthropoda","Insecta","Hymenoptera","Formicidae"
"ncbi","Alaskozetes","Arthropoda","Arachnida","Sarcoptiformes","Ameronothridae"
"ncbi","Cryptopygus","Arthropoda","Collembola","Entomobryomorpha","Isotomidae"
"ncbi","Ereynetes",NA,NA,NA,NA
"ncbi","Eupodes","Arthropoda","Arachnida","Trombidiformes","Eupodidae"
"ncbi","Gamasellus","Arthropoda","Arachnida","Mesostigmata","Ologamasidae"
"ncbi","Nanorchestes","Arthropoda","Arachnida","Sarcoptiformes","Nanorchestidae"
"ncbi","Stereotydeus","Arthropoda","Arachnida","Trombidiformes","Penthalodidae"
"ncbi","Tydeus","Arthropoda","Arachnida","Trombidiformes","Tydeidae"
"ncbi","Pergamasus","Arthropoda","Arachnida","Mesostigmata","Parasitidae"
"ncbi","Holoparasitus","Arthropoda","Arachnida","Mesostigmata","Parasitidae"
"ncbi","Geholaspis",NA,NA,NA,NA
"ncbi","Rhodacarus","Arthropoda","Arachnida","Mesostigmata","Rhodacaridae"
"ncbi","Pachylaelaps","Arthropoda","Arachnida","Mesostigmata","Pachylaelapidae"
"ncbi","Eviphis","Arthropoda","Arachnida","Mesostigmata","Eviphididae"
"ncbi","Trachytes","Arthropoda","Arachnida","Mesostigmata","Trachytidae"
"ncbi","Cilliba","Arthropoda","Arachnida","Mesostigmata","Cillibidae"
